source_id	target_id
EFO:0000768	DOID:0050156
EFO_0000768	DOID:0050156
EFO:0004270	DOID:0050425
EFO_0004270	DOID:0050425
EFO:0004276	DOID:0050426
EFO_0004276	DOID:0050426
EFO:0003767	DOID:0050589
EFO_0003767	DOID:0050589
EFO:0003768	DOID:0050742
EFO_0003768	DOID:0050742
EFO:0003872	DOID:0060180
EFO_0003872	DOID:0060180
EFO:1001951	DOID:0080199
EFO_1001951	DOID:0080199
EFO:0001357	DOID:0080917
EFO_0001357	DOID:0080917
EFO:0004799	DOID:10211
EFO_0004799	DOID:10211
EFO:0001054	DOID:1024
EFO_0001054	DOID:1024
EFO:0001663	DOID:10286
EFO_0001663	DOID:10286
EFO:0000095	DOID:1040
EFO_0000095	DOID:1040
EFO:0001060	DOID:10608
EFO_0001060	DOID:10608
EFO:0004190	DOID:1067
EFO_0004190	DOID:1067
EFO:0000537	DOID:10763
EFO_0000537	DOID:10763
EFO:0001365	DOID:10871
EFO_0001365	DOID:10871
EFO:0003888	DOID:1094
EFO_0003888	DOID:1094
EFO:0003870	DOID:10941
EFO_0003870	DOID:10941
EFO:0004254	DOID:10976
EFO_0004254	DOID:10976
EFO:0002916	DOID:1107
EFO_0002916	DOID:1107
EFO:0004895	DOID:11119
EFO_0004895	DOID:11119
EFO:0003882	DOID:11476
EFO_0003882	DOID:11476
EFO:0000660	DOID:11612
EFO_0000660	DOID:11612
EFO:0004593	DOID:11714
EFO_0004593	DOID:11714
EFO:0004207	DOID:11829
EFO_0004207	DOID:11829
EFO:0004226	DOID:11949
EFO_0004226	DOID:11949
EFO:0004213	DOID:12185
EFO_0004213	DOID:12185
EFO:0004267	DOID:12236
EFO_0004267	DOID:12236
EFO:0004208	DOID:12306
EFO_0004208	DOID:12306
EFO:0004237	DOID:12361
EFO_0004237	DOID:12361
EFO:0001068	DOID:12365
EFO_0001068	DOID:12365
EFO:0003758	DOID:12849
EFO_0003758	DOID:12849
EFO:0000407	DOID:12930
EFO_0000407	DOID:12930
EFO:0004216	DOID:12995
EFO_0004216	DOID:12995
EFO:0004236	DOID:1312
EFO_0004236	DOID:1312
EFO:0004274	DOID:13189
EFO_0004274	DOID:13189
