source_id	target_id
D006394	DOID:0001816
MESH:D006394	DOID:0001816
D008659	DOID:0014667
MESH:D008659	DOID:0014667
D000081012	DOID:0040091
MESH:D000081012	DOID:0040091
C000730515	DOID:0040093
MESH:C000730515	DOID:0040093
D012373	DOID:0050052
MESH:D012373	DOID:0050052
D004887	DOID:0050061
MESH:D004887	DOID:0050061
C000656784	DOID:0050072
MESH:C000656784	DOID:0050072
C536166	DOID:0050083
MESH:C536166	DOID:0050083
C000656825	DOID:0050096
MESH:C000656825	DOID:0050096
D004670	DOID:0050118
MESH:D004670	DOID:0050118
D051359	DOID:0050120
MESH:D051359	DOID:0050120
D010854	DOID:0050133
MESH:D010854	DOID:0050133
D004604	DOID:0050138
MESH:D004604	DOID:0050138
D007619	DOID:0050144
MESH:D007619	DOID:0050144
D059249	DOID:0050147
MESH:D059249	DOID:0050147
D011015	DOID:0050152
MESH:D011015	DOID:0050152
D054990	DOID:0050156
MESH:D054990	DOID:0050156
D018549	DOID:0050157
MESH:D018549	DOID:0050157
C562470	DOID:0050158
MESH:C562470	DOID:0050158
C562489	DOID:0050159
MESH:C562489	DOID:0050159
C571912	DOID:0050160
MESH:C571912	DOID:0050160
D004675	DOID:0050175
MESH:D004675	DOID:0050175
D004892	DOID:0050185
MESH:D004892	DOID:0050185
D045464	DOID:0050192
MESH:D045464	DOID:0050192
C000723471	DOID:0050202
MESH:C000723471	DOID:0050202
D015624	DOID:0050214
MESH:D015624	DOID:0050214
C536369	DOID:0050256
MESH:C536369	DOID:0050256
D058285	DOID:0050266
MESH:D058285	DOID:0050266
D014247	DOID:0050269
MESH:D014247	DOID:0050269
D060585	DOID:0050289
MESH:D060585	DOID:0050289
D060586	DOID:0050290
MESH:D060586	DOID:0050290
D000839	DOID:0050304
MESH:D000839	DOID:0050304
D003409	DOID:0050328
MESH:D003409	DOID:0050328
C564243	DOID:0050335
MESH:C564243	DOID:0050335
D017674	DOID:0050336
MESH:D017674	DOID:0050336
C572568	DOID:0050419
MESH:C572568	DOID:0050419
D011125	DOID:0050424
MESH:D011125	DOID:0050424
D012148	DOID:0050425
MESH:D012148	DOID:0050425
D013262	DOID:0050426
MESH:D013262	DOID:0050426
D014983	DOID:0050427
MESH:D014983	DOID:0050427
C563422	DOID:0050428
MESH:C563422	DOID:0050428
D016506	DOID:0050429
MESH:D016506	DOID:0050429
D018813	DOID:0050430
MESH:D018813	DOID:0050430
D019571	DOID:0050431
MESH:D019571	DOID:0050431
D020817	DOID:0050432
MESH:D020817	DOID:0050432
D034062	DOID:0050433
MESH:D034062	DOID:0050433
D050030	DOID:0050434
MESH:D050030	DOID:0050434
D050336	DOID:0050436
MESH:D050336	DOID:0050436
D052120	DOID:0050437
MESH:D052120	DOID:0050437
D052159	DOID:0050438
MESH:D052159	DOID:0050438
D052245	DOID:0050439
MESH:D052245	DOID:0050439
D052496	DOID:0050440
MESH:D052496	DOID:0050440
D052517	DOID:0050441
MESH:D052517	DOID:0050441
D052919	DOID:0050444
MESH:D052919	DOID:0050444
D053098	DOID:0050445
MESH:D053098	DOID:0050445
D053529	DOID:0050448
MESH:D053529	DOID:0050448
D053549	DOID:0050449
MESH:D053549	DOID:0050449
D053579	DOID:0050450
MESH:D053579	DOID:0050450
D053840	DOID:0050451
MESH:D053840	DOID:0050451
D054078	DOID:0050452
MESH:D054078	DOID:0050452
D054082	DOID:0050453
MESH:D054082	DOID:0050453
D054091	DOID:0050454
MESH:D054091	DOID:0050454
D054312	DOID:0050456
MESH:D054312	DOID:0050456
D054331	DOID:0050457
MESH:D054331	DOID:0050457
D054429	DOID:0050458
MESH:D054429	DOID:0050458
D054559	DOID:0050459
MESH:D054559	DOID:0050459
D054877	DOID:0050460
MESH:D054877	DOID:0050460
D054880	DOID:0050461
MESH:D054880	DOID:0050461
D055036	DOID:0050463
MESH:D055036	DOID:0050463
D055577	DOID:0050464
MESH:D055577	DOID:0050464
D055653	DOID:0050465
MESH:D055653	DOID:0050465
D055947	DOID:0050466
MESH:D055947	DOID:0050466
D056266	DOID:0050467
MESH:D056266	DOID:0050467
D056684	DOID:0050468
MESH:D056684	DOID:0050468
D056685	DOID:0050469
MESH:D056685	DOID:0050469
D056731	DOID:0050470
MESH:D056731	DOID:0050470
D056733	DOID:0050471
MESH:D056733	DOID:0050471
D056734	DOID:0050472
MESH:D056734	DOID:0050472
D056769	DOID:0050473
MESH:D056769	DOID:0050473
D056846	DOID:0050475
MESH:D056846	DOID:0050475
D056889	DOID:0050476
MESH:D056889	DOID:0050476
D056929	DOID:0050477
MESH:D056929	DOID:0050477
C537582	DOID:0050485
MESH:C537582	DOID:0050485
D005076	DOID:0050486
MESH:D005076	DOID:0050486
D005077	DOID:0050495
MESH:D005077	DOID:0050495
D002044	DOID:0050521
MESH:D002044	DOID:0050521
D015459	DOID:0050523
MESH:D015459	DOID:0050523
C562772	DOID:0050524
MESH:C562772	DOID:0050524
C563948	DOID:0050529
MESH:C563948	DOID:0050529
D014897	DOID:0050530
MESH:D014897	DOID:0050530
C537743	DOID:0050534
MESH:C537743	DOID:0050534
C564683	DOID:0050544
MESH:C564683	DOID:0050544
C536911	DOID:0050547
MESH:C536911	DOID:0050547
D009477	DOID:0050548
MESH:D009477	DOID:0050548
D058494	DOID:0050560
MESH:D058494	DOID:0050560
D065768	DOID:0050561
MESH:D065768	DOID:0050561
D013036	DOID:0050562
MESH:D013036	DOID:0050562
C580334	DOID:0050563
MESH:C580334	DOID:0050563
C535747	DOID:0050571
MESH:C535747	DOID:0050571
C535306	DOID:0050573
MESH:C535306	DOID:0050573
C537580	DOID:0050576
MESH:C537580	DOID:0050576
C562966	DOID:0050577
MESH:C562966	DOID:0050577
D059327	DOID:0050581
MESH:D059327	DOID:0050581
D014256	DOID:0050587
MESH:D014256	DOID:0050587
D015212	DOID:0050589
MESH:D015212	DOID:0050589
D000848	DOID:0050591
MESH:D000848	DOID:0050591
D012554	DOID:0050597
MESH:D012554	DOID:0050597
D012555	DOID:0050597
MESH:D012555	DOID:0050597
C535334	DOID:0050600
MESH:C535334	DOID:0050600
C564334	DOID:0050604
MESH:C564334	DOID:0050604
C538178	DOID:0050605
MESH:C538178	DOID:0050605
D010255	DOID:0050619
MESH:D010255	DOID:0050619
C562664	DOID:0050630
MESH:C562664	DOID:0050630
C537047	DOID:0050631
MESH:C537047	DOID:0050631
D016115	DOID:0050632
MESH:D016115	DOID:0050632
D016117	DOID:0050633
MESH:D016117	DOID:0050633
C537055	DOID:0050634
MESH:C537055	DOID:0050634
C536589	DOID:0050635
MESH:C536589	DOID:0050635
C562717	DOID:0050641
MESH:C562717	DOID:0050641
C537440	DOID:0050644
MESH:C537440	DOID:0050644
C565942	DOID:0050645
MESH:C565942	DOID:0050645
C535388	DOID:0050647
MESH:C535388	DOID:0050647
D004694	DOID:0050651
MESH:D004694	DOID:0050651
C536788	DOID:0050654
MESH:C536788	DOID:0050654
D006223	DOID:0050657
MESH:D006223	DOID:0050657
D016715	DOID:0050657
MESH:D016715	DOID:0050657
C537658	DOID:0050659
MESH:C537658	DOID:0050659
D057826	DOID:0050661
MESH:D057826	DOID:0050661
C567518	DOID:0050662
MESH:C567518	DOID:0050662
C535436	DOID:0050663
MESH:C535436	DOID:0050663
C567357	DOID:0050675
MESH:C567357	DOID:0050675
D058249	DOID:0050676
MESH:D058249	DOID:0050676
C537633	DOID:0050677
MESH:C537633	DOID:0050677
C538157	DOID:0050678
