source_id	target_id
MONDO:0000001	DOID:4
MONDO_0000001	DOID:4
MONDO:0000004	DOID:10493
MONDO_0000004	DOID:10493
MONDO:0000009	DOID:2218
MONDO_0000009	DOID:2218
MONDO:0000023	DOID:0080716
MONDO_0000023	DOID:0080716
MONDO:0000030	DOID:0060681
MONDO_0000030	DOID:0060681
MONDO:0000032	DOID:0111297
MONDO_0000032	DOID:0111297
MONDO:0000050	DOID:0060870
MONDO_0000050	DOID:0060870
MONDO:0000062	DOID:0080637
MONDO_0000062	DOID:0080637
MONDO:0000079	DOID:0080655
MONDO_0000079	DOID:0080655
MONDO:0000087	DOID:0080918
MONDO_0000087	DOID:0080918
MONDO:0000127	DOID:0111724
MONDO_0000127	DOID:0111724
MONDO:0000133	DOID:0090007
MONDO_0000133	DOID:0090007
MONDO:0000136	DOID:0080753
MONDO_0000136	DOID:0080753
MONDO:0000141	DOID:0080688
MONDO_0000141	DOID:0080688
MONDO:0000158	DOID:0060930
MONDO_0000158	DOID:0060930
MONDO:0000160	DOID:0111689
MONDO_0000160	DOID:0111689
MONDO:0000171	DOID:0050560
MONDO_0000171	DOID:0050560
MONDO:0000172	DOID:0112375
MONDO_0000172	DOID:0112375
MONDO:0000188	DOID:0070560
MONDO_0000188	DOID:0070560
MONDO:0000193	DOID:0090139
MONDO_0000193	DOID:0090139
MONDO:0000213	DOID:0061159
MONDO_0000213	DOID:0061159
MONDO:0000214	DOID:0080535
MONDO_0000214	DOID:0080535
MONDO:0000222	DOID:0050004
MONDO_0000222	DOID:0050004
MONDO:0000224	DOID:0050013
MONDO_0000224	DOID:0050013
MONDO:0000225	DOID:0050026
MONDO_0000225	DOID:0050026
MONDO:0000227	DOID:0050035
MONDO_0000227	DOID:0050035
MONDO:0000229	DOID:0050042
MONDO_0000229	DOID:0050042
MONDO:0000230	DOID:0050043
MONDO_0000230	DOID:0050043
MONDO:0000231	DOID:0050046
MONDO_0000231	DOID:0050046
MONDO:0000232	DOID:0050047
MONDO_0000232	DOID:0050047
MONDO:0000233	DOID:0050050
MONDO_0000233	DOID:0050050
MONDO:0000234	DOID:0050051
MONDO_0000234	DOID:0050051
MONDO:0000236	DOID:0050059
MONDO_0000236	DOID:0050059
MONDO:0000239	DOID:0050072
MONDO_0000239	DOID:0050072
MONDO:0000240	DOID:0050073
MONDO_0000240	DOID:0050073
MONDO:0000241	DOID:0050083
MONDO_0000241	DOID:0050083
MONDO:0000242	DOID:0050096
MONDO_0000242	DOID:0050096
MONDO:0000243	DOID:0050097
MONDO_0000243	DOID:0050097
MONDO:0000244	DOID:0050105
MONDO_0000244	DOID:0050105
MONDO:0000245	DOID:0050116
MONDO_0000245	DOID:0050116
MONDO:0000248	DOID:0050125
MONDO_0000248	DOID:0050125
MONDO:0000249	DOID:0050129
MONDO_0000249	DOID:0050129
MONDO:0000250	DOID:0050130
MONDO_0000250	DOID:0050130
MONDO:0000252	DOID:0050132
MONDO_0000252	DOID:0050132
MONDO:0000254	DOID:0050134
MONDO_0000254	DOID:0050134
MONDO:0000255	DOID:0050135
MONDO_0000255	DOID:0050135
MONDO:0000256	DOID:0050136
MONDO_0000256	DOID:0050136
MONDO:0000257	DOID:0050140
MONDO_0000257	DOID:0050140
MONDO:0000259	DOID:0050143
MONDO_0000259	DOID:0050143
MONDO:0000261	DOID:0050145
MONDO_0000261	DOID:0050145
MONDO:0000262	DOID:0050147
MONDO_0000262	DOID:0050147
MONDO:0000263	DOID:0050148
MONDO_0000263	DOID:0050148
MONDO:0000265	DOID:0050152
MONDO_0000265	DOID:0050152
MONDO:0000266	DOID:0050153
MONDO_0000266	DOID:0050153
MONDO:0000270	DOID:0050161
MONDO_0000270	DOID:0050161
MONDO:0000271	DOID:0050166
MONDO_0000271	DOID:0050166
MONDO:0000273	DOID:0050174
MONDO_0000273	DOID:0050174
MONDO:0000276	DOID:0050179
MONDO_0000276	DOID:0050179
MONDO:0000282	DOID:0050199
MONDO_0000282	DOID:0050199
MONDO:0000283	DOID:0050200
MONDO_0000283	DOID:0050200
MONDO:0000284	DOID:0050201
MONDO_0000284	DOID:0050201
MONDO:0000286	DOID:0050204
MONDO_0000286	DOID:0050204
MONDO:0000288	DOID:0050218
MONDO_0000288	DOID:0050218
MONDO:0000290	DOID:0050242
MONDO_0000290	DOID:0050242
MONDO:0000291	DOID:0050246
MONDO_0000291	DOID:0050246
MONDO:0000292	DOID:0050250
MONDO_0000292	DOID:0050250
