source_id	target_id
C0018923	DOID:0001816
UMLS:C0018923	DOID:0001816
C0854893	DOID:0001816
UMLS:C0854893	DOID:0001816
C0033999	DOID:0002116
UMLS:C0033999	DOID:0002116
C0025517	DOID:0014667
UMLS:C0025517	DOID:0014667
C0004058	DOID:0040002
UMLS:C0004058	DOID:0040002
C0571411	DOID:0040003
UMLS:C0571411	DOID:0040003
C0571417	DOID:0040004
UMLS:C0571417	DOID:0040004
C0571463	DOID:0040005
UMLS:C0571463	DOID:0040005
C0570787	DOID:0040006
UMLS:C0570787	DOID:0040006
C0570646	DOID:0040009
UMLS:C0570646	DOID:0040009
C0570785	DOID:0040011
UMLS:C0570785	DOID:0040011
C0570789	DOID:0040012
UMLS:C0570789	DOID:0040012
C0570577	DOID:0040013
UMLS:C0570577	DOID:0040013
C0038757	DOID:0040015
UMLS:C0038757	DOID:0040015
C0570633	DOID:0040018
UMLS:C0570633	DOID:0040018
C0571922	DOID:0040019
UMLS:C0571922	DOID:0040019
C0571457	DOID:0040020
UMLS:C0571457	DOID:0040020
C0571444	DOID:0040021
UMLS:C0571444	DOID:0040021
C0571303	DOID:0040022
UMLS:C0571303	DOID:0040022
C0571453	DOID:0040023
UMLS:C0571453	DOID:0040023
C0571458	DOID:0040024
UMLS:C0571458	DOID:0040024
C0571454	DOID:0040025
UMLS:C0571454	DOID:0040025
C0571344	DOID:0040026
UMLS:C0571344	DOID:0040026
C0570670	DOID:0040027
UMLS:C0570670	DOID:0040027
C0571140	DOID:0040028
UMLS:C0571140	DOID:0040028
C0571390	DOID:0040029
UMLS:C0571390	DOID:0040029
C0571460	DOID:0040030
UMLS:C0571460	DOID:0040030
C0570540	DOID:0040031
UMLS:C0570540	DOID:0040031
C0571443	DOID:0040032
UMLS:C0571443	DOID:0040032
C0571427	DOID:0040033
UMLS:C0571427	DOID:0040033
C0571149	DOID:0040034
UMLS:C0571149	DOID:0040034
C0570587	DOID:0040035
UMLS:C0570587	DOID:0040035
C0571147	DOID:0040036
UMLS:C0571147	DOID:0040036
C0571476	DOID:0040037
UMLS:C0571476	DOID:0040037
C0571102	DOID:0040057
UMLS:C0571102	DOID:0040057
C0570547	DOID:0040060
UMLS:C0570547	DOID:0040060
C0571881	DOID:0040065
UMLS:C0571881	DOID:0040065
C0570673	DOID:0040066
UMLS:C0570673	DOID:0040066
C1443961	DOID:0040067
UMLS:C1443961	DOID:0040067
C0571504	DOID:0040070
UMLS:C0571504	DOID:0040070
C0571155	DOID:0040071
UMLS:C0571155	DOID:0040071
C0571339	DOID:0040074
UMLS:C0571339	DOID:0040074
C0571482	DOID:0040076
UMLS:C0571482	DOID:0040076
C0571145	DOID:0040078
UMLS:C0571145	DOID:0040078
C1697878	DOID:0040086
UMLS:C1697878	DOID:0040086
C2609129	DOID:0040091
UMLS:C2609129	DOID:0040091
C0409675	DOID:0040092
UMLS:C0409675	DOID:0040092
C0263591	DOID:0040093
UMLS:C0263591	DOID:0040093
C1328843	DOID:0040097
UMLS:C1328843	DOID:0040097
C0854359	DOID:0040100
UMLS:C0854359	DOID:0040100
C0578661	DOID:0050004
UMLS:C0578661	DOID:0050004
C0001485	DOID:0050117
UMLS:C0001485	DOID:0050117
C0014053	DOID:0050118
UMLS:C0014053	DOID:0050118
C0024291	DOID:0050120
UMLS:C0024291	DOID:0050120
C0149512	DOID:0050127
UMLS:C0149512	DOID:0050127
C0031898	DOID:0050133
UMLS:C0031898	DOID:0050133
C2980104	DOID:0050133
UMLS:C2980104	DOID:0050133
C0396023	DOID:0050145
UMLS:C0396023	DOID:0050145
C0155811	DOID:0050148
UMLS:C0155811	DOID:0050148
C0155837	DOID:0050148
UMLS:C0155837	DOID:0050148
C0032290	DOID:0050152
UMLS:C0032290	DOID:0050152
C1800706	DOID:0050156
UMLS:C1800706	DOID:0050156
C0242770	DOID:0050157
UMLS:C0242770	DOID:0050157
C0238378	DOID:0050158
UMLS:C0238378	DOID:0050158
C0029581	DOID:0050161
UMLS:C0029581	DOID:0050161
C0152828	DOID:0050166
UMLS:C0152828	DOID:0050166
C0014054	DOID:0050175
UMLS:C0014054	DOID:0050175
C4303115	DOID:0050192
UMLS:C4303115	DOID:0050192
C4274433	DOID:0050202
UMLS:C4274433	DOID:0050202
C0022972	DOID:0050214
UMLS:C0022972	DOID:0050214
C0010308	DOID:0050328
UMLS:C0010308	DOID:0050328
C0342200	DOID:0050328
UMLS:C0342200	DOID:0050328
C1842073	DOID:0050335
UMLS:C1842073	DOID:0050335
C0032580	DOID:0050424
UMLS:C0032580	DOID:0050424
C0035258	DOID:0050425
UMLS:C0035258	DOID:0050425
C0038325	DOID:0050426
UMLS:C0038325	DOID:0050426
C0043346	DOID:0050427
UMLS:C0043346	DOID:0050427
C1833030	DOID:0050428
UMLS:C1833030	DOID:0050428
C0085106	DOID:0050429
UMLS:C0085106	DOID:0050429
C0025268	DOID:0050430
UMLS:C0025268	DOID:0050430
C0349788	DOID:0050431
UMLS:C0349788	DOID:0050431
C0236792	DOID:0050432
UMLS:C0236792	DOID:0050432
C0206042	DOID:0050433
UMLS:C0206042	DOID:0050433
C1563715	DOID:0050434
UMLS:C1563715	DOID:0050434
C0524582	DOID:0050436
UMLS:C0524582	DOID:0050436
C0878677	DOID:0050437
UMLS:C0878677	DOID:0050437
C0950122	DOID:0050438
UMLS:C0950122	DOID:0050438
C0271694	DOID:0050440
UMLS:C0271694	DOID:0050440
C1720859	DOID:0050440
UMLS:C1720859	DOID:0050440
C1720860	DOID:0050440
UMLS:C1720860	DOID:0050440
C1720861	DOID:0050440
UMLS:C1720861	DOID:0050440
C0268263	DOID:0050441
UMLS:C0268263	DOID:0050441
C0282527	DOID:0050444
UMLS:C0282527	DOID:0050444
C0733682	DOID:0050445
UMLS:C0733682	DOID:0050445
C1845168	DOID:0050445
UMLS:C1845168	DOID:0050445
C3540852	DOID:0050445
UMLS:C3540852	DOID:0050445
C1721005	DOID:0050448
UMLS:C1721005	DOID:0050448
C0265334	DOID:0050449
UMLS:C0265334	DOID:0050449
C1706595	DOID:0050449
UMLS:C1706595	DOID:0050449
C1721007	DOID:0050449
UMLS:C1721007	DOID:0050449
C0268450	DOID:0050450
UMLS:C0268450	DOID:0050450
C1142166	DOID:0050451
UMLS:C1142166	DOID:0050451
C1721096	DOID:0050451
UMLS:C1721096	DOID:0050451
C0342731	DOID:0050452
UMLS:C0342731	DOID:0050452
C0398691	DOID:0050452
UMLS:C0398691	DOID:0050452
C1959626	DOID:0050452
UMLS:C1959626	DOID:0050452
C0266463	DOID:0050453
UMLS:C0266463	DOID:0050453
C0266483	DOID:0050453
UMLS:C0266483	DOID:0050453
C1848213	DOID:0050454
UMLS:C1848213	DOID:0050454
C1868720	DOID:0050454
UMLS:C1868720	DOID:0050454
C0085568	DOID:0050456
UMLS:C0085568	DOID:0050456
C1384583	DOID:0050457
UMLS:C1384583	DOID:0050457
C0349639	DOID:0050458
UMLS:C0349639	DOID:0050458
C0085681	DOID:0050459
UMLS:C0085681	DOID:0050459
C0796117	DOID:0050460
UMLS:C0796117	DOID:0050460
C1956097	DOID:0050460
UMLS:C1956097	DOID:0050460
C0268225	DOID:0050461
UMLS:C0268225	DOID:0050461
C1861922	DOID:0050463
UMLS:C1861922	DOID:0050463
C1861923	DOID:0050463
UMLS:C1861923	DOID:0050463
C0268255	DOID:0050464
UMLS:C0268255	DOID:0050464
C1321489	DOID:0050465
UMLS:C1321489	DOID:0050465
C1836635	DOID:0050466
UMLS:C1836635	DOID:0050466
C2697932	DOID:0050466
UMLS:C2697932	DOID:0050466
C0265961	DOID:0050467
UMLS:C0265961	DOID:0050467
C1851480	DOID:0050467
UMLS:C1851480	DOID:0050467
C0221348	DOID:0050468
UMLS:C0221348	DOID:0050468
C0587248	DOID:0050469
UMLS:C0587248	DOID:0050469
C0265344	DOID:0050470
UMLS:C0265344	DOID:0050470
C0271695	DOID:0050470
UMLS:C0271695	DOID:0050470
C0406810	DOID:0050471
UMLS:C0406810	DOID:0050471
C1854540	DOID:0050471
UMLS:C1854540	DOID:0050471
C2607929	DOID:0050471
UMLS:C2607929	DOID:0050471
C0546966	DOID:0050472
UMLS:C0546966	DOID:0050472
C0268425	DOID:0050473
UMLS:C0268425	DOID:0050473
C0265962	DOID:0050474
UMLS:C0265962	DOID:0050474
C0265313	DOID:0050475
UMLS:C0265313	DOID:0050475
C1869114	DOID:0050475
UMLS:C1869114	DOID:0050475
C1869115	DOID:0050475
UMLS:C1869115	DOID:0050475
C0574083	DOID:0050476
UMLS:C0574083	DOID:0050476
C0221043	DOID:0050477
UMLS:C0221043	DOID:0050477
C0015230	DOID:0050486
UMLS:C0015230	DOID:0050486
C0015231	DOID:0050495
UMLS:C0015231	DOID:0050495
