label_id,name,drug,gene,source,biomarker_status,testing,alternate_drug_available,source_database
PA166104777,Annotation of FDA Label for clopidogrel and CYP2C19,clopidogrel,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",True,ClinPGx
PA166104784,"Annotation of FDA Label for diazepam and CYP2C19, CYP3A4",diazepam,CYP2C19; CYP3A4,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104808,"Annotation of FDA Label for nelfinavir and CYP2C19, CYP3A4, CYP3A5",nelfinavir,CYP2C19; CYP3A4; CYP3A5,FDA,Formerly on FDA Biomarker List,,False,ClinPGx
PA166104814,Annotation of FDA Label for drospirenone / ethinyl estradiol and CYP2C19,drospirenone / ethinyl estradiol,CYP2C19,FDA,On FDA Biomarker List,,False,ClinPGx
PA166104816,Annotation of FDA Label for esomeprazole and CYP2C19,esomeprazole,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
PA166104818,Annotation of FDA Label for voriconazole and CYP2C19,voriconazole,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104820,"Annotation of FDA Label for doxepin and CYP2C19, CYP2D6",doxepin,CYP2C19; CYP2D6,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104832,Annotation of FDA Label for carisoprodol and CYP2C19,carisoprodol,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1183672111, 'description': 'The label does not discuss genetic or other testing for gene/protein/chromosomal variants, but does contain information about changes in efficacy, dosage or toxicity due to such variants. The label may mention contraindication of the drug in a particular subset of patients but does not require or recommend gene, protein or chromosomal testing.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Actionable PGx', 'termId': 'geneTestLevel:1183672111', 'valid': True, 'version': 2}",False,ClinPGx
PA166104841,Annotation of EMA Label for clopidogrel and CYP2C19,clopidogrel,CYP2C19,EMA,,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104848,Annotation of FDA Label for rabeprazole and CYP2C19,rabeprazole,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1183672141, 'description': 'The label mentions a gene or protein is involved in the metabolism or pharmacodynamics of the drug, but there is no information to suggest that variation in these genes/proteins leads to different response.', 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'Informative PGx', 'termId': 'geneTestLevel:1183672141', 'valid': True, 'version': 2}",False,ClinPGx
PA166104851,Annotation of FDA Label for ticagrelor and CYP2C19,ticagrelor,CYP2C19,FDA,On FDA Biomarker List,"{'id': 1452529540, 'parents': [], 'resource': 'Genetic Testing Level', 'synonyms': [], 'term': 'No Clinical PGx', 'termId': 'geneTestLevel:1452529540', 'valid': True, 'version': 0}",False,ClinPGx
