trial_id,title,intervention_name,condition,phase,status,source_database
NCT06610019,Cardiovascular Multimodality Imaging Study,Not specified,Non-ischemic Cardiomyopathy; Cardiomyopathies; Hypertrophic Cardiomyopathy; Right Ventricular Arrhythmogenic Cardiomyopathy; Cardiac Amyloidosis; Anderson Fabry Disease; Sarcoidosis; Cancer Therapy-related Cardiac Dysfunction; Ventricular Arrythmia; Heart Failure,Not specified,RECRUITING,ClinicalTrials.gov
NCT00004828,Liothyronine in Children With Single Ventricle Congenital Cardiac Malformations Undergoing the Fontan Procedure,liothyronine I 131,"Tricuspid Atresia; Heart Defects, Congenital",PHASE1,COMPLETED,ClinicalTrials.gov
NCT04782830,Use of Accelerometer for Quantification of Neurogenic Orthostatic Hypotension Symptoms,Accelerometer; placebo pill; Midodrine or atomoxetine pill,"Orthostatic; Hypotension, Neurogenic; Autonomic Failure; Pure Autonomic Failure; Multiple System Atrophy; Orthostatic; Hypotension, Parkinsonism",NA,RECRUITING,ClinicalTrials.gov
NCT03215030,A Study of Modakafusp Alfa on Adult Participants With Relapsed/Refractory Multiple Myeloma,Modakafusp alfa; Dexamethasone,Multiple Myeloma,"PHASE1, PHASE2",TERMINATED,ClinicalTrials.gov
NCT03314467,Role of Obstructive Sleep Apnea Syndrome in the Occurrence of Diabetic Retinopathy in Type 2 Diabetes.,polysomnography,Diabetes Mellitus; Obstructive Sleep Apnea,Not specified,COMPLETED,ClinicalTrials.gov
NCT00252200,BNP (Nesiritide) vs. Placebo to Protect Kidney Function in Patients Undergoing Heart Bypass Surgery.,Neseritide,Acute Kidney Failure,"PHASE1, PHASE2",COMPLETED,ClinicalTrials.gov
NCT03124030,Intra- and Post- Operative Bleeding After Simple Dental Extraction in Direct Oral Anticoagulant Therapy,simple dental extraction,Anticoagulant-induced Bleeding; Dental Diseases,Not specified,UNKNOWN,ClinicalTrials.gov
NCT07280728,Nurse-Led Education for Heart Failure Self-Care and Stability,Nurse-Led Face-to-Face Educational Intervention (Teach-Back Method),Chronic Heart Failure,NA,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT02591628,Treatment of Hypertension In Adults With ThiaZIDES: Pragmatic Trial Pilot Study,HCTZ prescription conversion to chlorthalidone,Hypertension,NA,COMPLETED,ClinicalTrials.gov
NCT01928628,Phase III Clinical Study to Evaluate the Efficacy and Safety of the Combination of Lercanidipine/Valsartan in Hypertensive Patients,Lercanidipine 10mg; Lercanidipine10mg /Valsartan 80mg; Lercanidipine 10mg /Valsartan 160mg; Lercanidipin 10mg Placebo; Lercanidipine10mg /Valsartan 80mg Placebo; Lercanidipine 10mg /Valsartan 160mg Placebo,Hypertension,PHASE3,COMPLETED,ClinicalTrials.gov
NCT02219828,AnakInRa for Treatment of Recurrent Idiopathic Pericarditis (AIRTRIP),Anakinra; Placebo,Idiopathic Recurrent Pericarditis,PHASE4,COMPLETED,ClinicalTrials.gov
NCT03412565,A Study to Evaluate Subcutaneous Daratumumab in Combination With Standard Multiple Myeloma Treatment Regimens,Daratumumab; Bortezomib; Lenalidomide; Dexamethasone; Melphalan; Prednisone; Carfilzomib,Multiple Myeloma,PHASE2,COMPLETED,ClinicalTrials.gov
NCT06624267,Test of Reproducibility of [15O]H20-PET Assessment of Brain Perfusion,PET,Microvascular Disease; Microvascular Complications; Diabetes Mellitus Type 2; Cerebral Hypoperfusion; Dementia,Not specified,NOT_YET_RECRUITING,ClinicalTrials.gov
NCT04363307,Prospective Study to Validate Ablation Parameters with MRI Based Scar for Left Atrial Ablation,AF Ablation; MRI,Atrial Fibrillation,Not specified,COMPLETED,ClinicalTrials.gov
NCT00800228,Salt Study: Inhibited Breathing Pattern and Sodium Inhibitors in Sodium Sensitivity of Blood Pressure,Not specified,Hypertension,Not specified,COMPLETED,ClinicalTrials.gov
NCT01194128,Facilitating Caregiver Adaptation to Patient Institutionalization,Psychoeducational Support; Information only control group,Dementia; Stroke; Heart Disease,PHASE3,COMPLETED,ClinicalTrials.gov
NCT01637428,The Use of Intermittent Pneumatic Compression Device for Symptomatic Relief in Patients With Post Thrombotic Syndrome,ActiveCare+S.F.T 3rd generation,Post Thrombotic Syndrome,PHASE2,UNKNOWN,ClinicalTrials.gov
NCT03858465,Comparison of Phenylephrine and Ephedrine in the Treatment of Hemodynamic Disorders After Spinal Anesthesia in the Elderly,Ephedrine; Phenylephrine,Hip Fractures; Elderly Patients; Spinal Anesthesia; Lower Limb Surgery,NA,COMPLETED,ClinicalTrials.gov
NCT03175965,Prognostic Value of P30 After Cardiac Arrest,Somatosensory evoked potential,Out-Of-Hospital Cardiac Arrest,Not specified,COMPLETED,ClinicalTrials.gov
