trial_id,title,intervention_name,condition,phase,status,source_database
NCT04230785,Circulating Non-coding RNA in Acute Ischemic Stroke with Endovascular Treatment (EVTRNA),Sequencing of circRNA/lncRNA/miRNA,"Stroke, Acute; Stroke, Ischemic; Endovascular Treatment",Not specified,RECRUITING,ClinicalTrials.gov
NCT02115724,Nitric Oxide Bioavailability and Early Life Stress (NO-Stress),Antioxidant cocktail; Biopsy; Placebo; NMD; 0.4mg sub-lingual nitroglycerin spray,Cardiovascular Disease,NA,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT02597127,Trial to Evaluate the Effect of ALN-PCSSC Treatment on Low Density Lipoprotein Cholesterol (LDL-C),ALN-PCSSC; Normal Saline,Atherosclerotic Cardiovascular Disease; Familial Hypercholesterolemia; Diabetes,PHASE2,COMPLETED,ClinicalTrials.gov
NCT04792320,"Oral Absorbent and Probiotics in CKD Patients With PAD on Gut Microbiota, IncRNA, Metabolome, and Vascular Function",Active bamboo charcoal; probiotics,CKD; PAD - Peripheral Arterial Disease,NA,RECRUITING,ClinicalTrials.gov
NCT04533282,Epitranscriptomic Blood Biomarkers for Coronary Artery Disease - A Prospective Cohort Study (IHD-EPITRAN),"Blood samples.; Collection of right atrial appendage tissue sample.; Health Survey, Clinical symptom scaling; Transthoracic echocardiography (TTE)",Ischemic Heart Disease; Coronary Artery Disease; Aortic Valve Stenosis; Acute Myocardial Infarction,Not specified,UNKNOWN,ClinicalTrials.gov
NCT03984123,The Acute and Chronic Effects of Remote Ischemic Conditioning on Cardiovascular Function,"Brachial cuff, in order to achieve ischemic stimuli",Acute Myocardial Infarction,NA,UNKNOWN,ClinicalTrials.gov
NCT06431763,A Study to Investigate LDL-cholesterol Lowering With Inclisiran Compared to Bempedoic Acid in Patients With Atherosclerotic Cardiovascular Disease.,Inclisiran sodium; BPA,Hypercholesterolemia,PHASE4,COMPLETED,ClinicalTrials.gov
NCT03424460,Venous Thromboembolism in Myotonic Dystrophy Type 1,Haemostasis tests; Monocytes and megacaryocytes culture and RNA extraction; RNA extraction,Myotonic Dystrophy 1,NA,COMPLETED,ClinicalTrials.gov
NCT02963311,A Study of ALN-PCSSC in Participants With Homozygous Familial Hypercholesterolemia (HoFH),ALN-PCSSC; Standard of Care,Homozygous Familial Hypercholesterolemia,PHASE2,COMPLETED,ClinicalTrials.gov
NCT05250310,The Effect of Structured Lifestyle Modification and Yoga Practice on Metabolic Processes Associated With Cardiovascular Disease,Chair Yoga,Coronary Artery Disease,NA,RECRUITING,ClinicalTrials.gov
NCT03222531,Expanding the Pool in Orthotopic Heart Transplantation,sofosbuvir/velpatasvir,Hepatitis C; Heart Transplant; Cardiac Transplant,PHASE2,ACTIVE_NOT_RECRUITING,ClinicalTrials.gov
NCT05632432,Atrial Appendage Micrograft Transplants to Assist Heart Repair After Cardiac Surgery,Epicardial AAMs-patch transplantation; RNA-stabilized whole blood sampling; Plasma sampling; Transthoracic echocardiography; Late-gadolinium enhancement cardiac magnetic resonance imaging (LGE-CMRI); Symptom-scaling; 6-minute walking test (6MWT); Blood sampling (NT-proBNP); Transesophageal echocardiography; Epicardial collagen-based patch transplantation,"Ischemic Heart Disease; Ischemic Cardiomyopathy; Heart Failure, Systolic; Heart Failure NYHA Class III; Heart Failure NYHA Class II; Heart Failure NYHA Class IV; Coronary Artery Disease",NA,RECRUITING,ClinicalTrials.gov
NCT01333644,The Role of Inflammation and Aging in HIV-Associated Cardiovascular Risk,Not specified,HIV Infection; Cardiovascular Disease; Inflammation,Not specified,COMPLETED,ClinicalTrials.gov
NCT06293924,Pericardial Fluid Analysis in Recurrent Pericarditis,Pericardiocentesis; Pericardiotomy; Cytofluorometry and Gene expression analysis,Acute Pericarditis; Pericardial Effusion; Pericardial Disease; Pericardial Fluid Exudate; Autoinflammatory Disorders; Autoinflammatory Disease,Not specified,ENROLLING_BY_INVITATION,ClinicalTrials.gov
