trial_id,title,intervention_name,condition,phase,status,source_database
NCT06415994,Multimodal Fetal and Placental Imaging and Biomarkers of Clinical Outcomes in Opioid Use Disorder,Buprenorphine or Methadone Treatment; Fetal and Placental MRI; Child Developmental Assessment; Questionnaires; Blood and Placental Samples,Opioid Use Disorder; Substance-Related Disorders; Pregnancy Related; Narcotic-Related Disorders; Buprenorphine Dependence; Methadone Dependence,Not specified,ENROLLING_BY_INVITATION,ClinicalTrials.gov
NCT05287438,Next Generation Sequencing Versus Traditional Cultures for Clinically Infected Penile Implants: Impact of Culture Identification on Outcomes,Next-Generation DNA Sequencing; Standard Culture,Penile Implantation; Infections,NA,UNKNOWN,ClinicalTrials.gov
NCT01302626,Radiomics: a Study of Outcome in Lung Cancer,Not specified,Lung Cancer,Not specified,COMPLETED,ClinicalTrials.gov
NCT06684418,Artificial Intelligence-based Model for the Prediction of Occult Lymph Node Metastasis and Improvement of Clinical Decision-making in Non-small Cell Lung Cancer,chest enhanced CT,NSCLC (Non-small Cell Lung Cancer); Artificial Intelligence (AI); Lymphnode Metastasis,Not specified,RECRUITING,ClinicalTrials.gov
NCT00005018,Safety and Effectiveness of a Combination Anti-HIV Drug Treatment,Hydroxyurea; Abacavir sulfate; Efavirenz; Didanosine,HIV Infections,PHASE4,COMPLETED,ClinicalTrials.gov
NCT02797262,Measuring and Monitoring Adherence to ART With Pill Ingestible Sensor System,Proteus digital health feedback (PDHF) system,HIV/AIDS; Medication Adherence,NA,COMPLETED,ClinicalTrials.gov
NCT03980691,Effect of Chidamide Combined With CAT-T or TCR-T Cell Therapy on HIV-1 Latent Reservoir,Chidamide with CAR-T or TCR-T cell therapy,HIV/AIDS,PHASE1,COMPLETED,ClinicalTrials.gov
NCT00683579,Neurocognitive Assessment in Youth Initiating HAART,Early Treatment with HAART; No treatment; HAART Treatment - standard care,HIV Infections,Not specified,COMPLETED,ClinicalTrials.gov
NCT04523389,Contents of Circulating Extracellular Vesicles: Biomarkers in Colorectal Cancer Patients,"analysis (protein, lipid, RNA ...) of circulating exosomes, size and number; Gathering additional information about the patient's cancer; Diagnostic test",Colorectal Cancer,Not specified,UNKNOWN,ClinicalTrials.gov
NCT01371578,"Oral Antivirals (GS-5885, Tegobuvir, and/or GS-9451) With Peginterferon Alfa 2a and Ribavirin in Treatment Experienced Subjects With Chronic Genotype 1 Hepatitis C Virus Infection",GS-5885 tablet; GS-9451 tablet; peginterferon alfa-2a; ribavirin tablet,"Hepatitis C, Chronic",PHASE2,COMPLETED,ClinicalTrials.gov
NCT06311214,Personalized Antibody-Drug Conjugate Therapy Based on RNA and Protein Testing for the Treatment of Advanced or Metastatic Solid Tumors (The ADC MATCH Screening and Treatment Trial),Biopsy Procedure; Biospecimen Collection; Computed Tomography; Echocardiography Test; Electronic Health Record Review; Enfortumab Vedotin; Immunohistochemistry Staining Method; Magnetic Resonance Imaging; Multigated Acquisition Scan; Sacituzumab Govitecan; Trastuzumab Deruxtecan,Advanced Malignant Solid Neoplasm; Metastatic Malignant Solid Neoplasm,PHASE2,RECRUITING,ClinicalTrials.gov
