clinpgx_id,gene_symbol,gene_name,chromosome,cpic_gene,vip_tier,source_database
PA124,CYP2C19,cytochrome P450 family 2 subfamily C member 19,chr10,True,Tier 1,ClinPGx
PA126,CYP2C9,cytochrome P450 family 2 subfamily C member 9,chr10,True,Tier 1,ClinPGx
PA133787052,VKORC1,vitamin K epoxide reductase complex subunit 1,chr16,True,Tier 1,ClinPGx
PA128,CYP2D6,cytochrome P450 family 2 subfamily D member 6,chr22,True,Tier 1,ClinPGx
PA134865839,SLCO1B1,solute carrier organic anion transporter family member 1B1,chr12,True,Tier 1,ClinPGx
PA130,CYP3A4,cytochrome P450 family 3 subfamily A member 4,chr7,False,Tier 1,ClinPGx
PA131,CYP3A5,cytochrome P450 family 3 subfamily A member 5,chr7,True,Tier 1,ClinPGx
PA38,ADRB1,adrenoceptor beta 1,chr10,False,Tier 1,ClinPGx
PA39,ADRB2,adrenoceptor beta 2,chr5,False,Tier 1,ClinPGx
PA139,ACE,angiotensin I converting enzyme,chr17,False,Tier 1,ClinPGx
PA108,CETP,cholesteryl ester transfer protein,chr16,False,Undefined,ClinPGx
PA189,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,chr5,False,Tier 2,ClinPGx
PA38617,PCSK9,proprotein convertase subtilisin/kexin type 9,chr1,False,Undefined,ClinPGx
PA254,NOS3,nitric oxide synthase 3,chr7,False,Undefined,ClinPGx
PA159,F5,coagulation factor V,chr1,False,Tier 2,ClinPGx
PA157,F2,"coagulation factor II, thrombin",chr11,False,Undefined,ClinPGx
PA245,MTHFR,methylenetetrahydrofolate reductase,chr1,False,Tier 1,ClinPGx
